Pressure (MPa),Temperature (°C),Specific volume v (m³/kg),Internal energy u (kJ/kg),Enthalpy h (kJ/kg),Entropy s (kJ/kg·K)
P,T,v,u,h,s
0.6,1100,1.0559,4256.1,4889.6,9.3381
0.6,1200,1.133,4466.5,5146.3,9.5185
0.6,1300,1.2101,4682.3,5408.3,9.6906
0.8,170.43,0.2404,2576.8,2769.1,6.6628
0.8,200,0.2608,2630.6,2839.3,6.8158
0.8,250,0.2931,2715.5,2950,7.0384
0.8,300,0.3241,2797.2,3056.5,7.2328
0.8,350,0.3544,2878.2,3161.7,7.4089
0.8,400,0.3843,2959.7,3267.1,7.5716
0.8,500,0.4433,3126,3480.6,7.8673
0.8,600,0.5018,3297.9,3699.4,8.1333
0.8,700,0.5601,3476.2,3924.2,8.377
0.8,800,0.6181,3661.1,4155.6,8.6033
0.8,900,0.6761,3852.8,4393.7,8.8153
0.8,1000,0.734,4051,4638.2,9.0153
0.8,1100,0.7919,4255.6,4889.1,9.205
0.8,1200,0.8497,4466.1,5145.9,9.3855
0.8,1300,0.9076,4681.8,5407.9,9.5575
1,179.91,0.19444,2583.6,2778.1,6.5865
1,200,0.206,2621.9,2827.9,6.694
1,250,0.2327,2709.9,2942.6,6.9247
1,300,0.2579,2793.2,3051.2,7.1229
1,350,0.2825,2875.2,3157.7,7.3011
1,400,0.3066,2957.3,3263.9,7.4651
1,500,0.3541,3124.4,3478.5,7.7622
1,600,0.4011,3296.8,3697.9,8.029
1,700,0.4478,3475.3,3923.1,8.2731
1,800,0.4943,3660.4,4154.7,8.4996
1,900,0.5407,3852.2,4392.9,8.7118
1,1000,0.5871,4050.5,4637.6,8.9119
1,1100,0.6335,4255.1,4888.6,9.1017
1,1200,0.6798,4465.6,5145.4,9.2822
1,1300,0.7261,4681.3,5407.4,9.4543
1.2,187.99,0.16333,2588.8,2784.4,6.5233
1.2,200,0.1693,2612.8,2815.9,6.5898
1.2,250,0.19234,2704.2,2935,6.8294
1.2,300,0.2138,2789.2,3045.8,7.0317
1.2,350,0.2345,2872.2,3153.6,7.2121
1.2,400,0.2548,2954.9,3260.7,7.3774
1.2,500,0.2946,3122.8,3476.3,7.6759
1.2,600,0.3339,3295.6,3696.3,7.9435
1.2,700,0.3729,3474.4,3922,8.1881
1.2,800,0.4118,3659.7,4153.8,8.4148
1.2,900,0.4505,3851.6,4392.2,8.6272
1.2,1000,0.4892,4050,4637,8.8274
1.2,1100,0.5278,4254.6,4888,9.0172
1.2,1200,0.5665,4465.1,5144.9,9.1977
1.2,1300,0.6051,4680.9,5407,9.3698
1.4,195.07,0.14084,2592.8,2790,6.4693
1.4,200,0.14302,2603.1,2803.3,6.4975
1.4,250,0.1635,2698.3,2927.2,6.7467
1.4,300,0.18228,2785.2,3040.4,6.9534
1.4,350,0.2003,2869.2,3149.5,7.136
1.4,400,0.2178,2952.5,3257.5,7.3026
1.4,500,0.2521,3121.1,3474.1,7.6027
1.4,600,0.286,3294.4,3694.8,7.871
1.4,700,0.3195,3473.6,3920.8,8.116
1.4,800,0.3528,3659,4153,8.3431
1.4,900,0.3861,3851.1,4391.5,8.5556
1.4,1000,0.4192,4049.5,4636.4,8.7559
1.4,1100,0.4524,4254.1,4887.5,8.9457
1.4,1200,0.4855,4464.7,5144.4,9.1262
1.4,1300,0.5186,4680.4,5406.5,9.2984
1.6,201.41,0.1238,2596,2794,6.4218
1.6,225,0.13287,2644.7,2857.3,6.5518
1.6,250,0.14184,2692.3,2919.2,6.6732
1.6,300,0.15862,2781.1,3034.8,6.8844
1.6,350,0.17456,2866.1,3145.4,7.0694
1.6,400,0.19005,2950.1,3254.2,7.2374
1.6,500,0.2203,3119.5,3472,7.539
1.6,600,0.25,3293.3,3693.2,7.808
1.6,700,0.2794,3472.7,3919.7,8.0535
1.6,800,0.3086,3658.3,4152.1,8.2808
1.6,900,0.3377,3850.5,4390.8,8.4935
1.6,1000,0.3668,4049,4635.8,8.6938
1.6,1100,0.3958,4253.7,4887,8.8837
1.6,1200,0.4248,4464.2,5143.9,9.0643
1.6,1300,0.4538,4679.9,5406,9.2364
1.8,207.15,0.11042,2598.4,2797.1,6.3794
1.8,225,0.11673,2636.6,2846.7,6.4808
1.8,250,0.12497,2686,2911,6.6066
1.8,300,0.14021,2776.9,3029.2,6.8226
1.8,350,0.15457,2863,3141.2,7.01
1.8,400,0.16847,2947.7,3250.9,7.1794
1.8,500,0.1955,3117.9,3469.8,7.4825
1.8,600,0.222,3292.1,3691.7,7.7523
1.8,700,0.2482,3471.8,3918.5,7.9983
1.8,800,0.2742,3657.6,4151.2,8.2258
1.8,900,0.3001,3849.9,4390.1,8.4386
1.8,1000,0.326,4048.5,4635.2,8.6391
1.8,1100,0.3518,4253.2,4886.4,8.829
1.8,1200,0.3776,4463.7,5143.4,9.0096
1.8,1300,0.4034,4679.5,5405.6,9.1818
2,212.42,0.09963,2600.3,2799.5,6.3409
2,225,0.10377,2628.3,2835.8,6.4147
2,250,0.11144,2679.6,2902.5,6.5453
2,300,0.12547,2772.6,3023.5,6.7664
2,350,0.13857,2859.8,3137,6.9563
2,400,0.1512,2945.2,3247.6,7.1271
2,500,0.17568,3116.2,3467.6,7.4317
2,600,0.1996,3290.9,3690.1,7.7024
2,700,0.2232,3470.9,3917.4,7.9487
2,800,0.2467,3657,4150.3,8.1765
2,900,0.27,3849.3,4389.4,8.3895
2,1000,0.2933,4048,4634.6,8.5901
2,1100,0.3166,4252.7,4885.9,8.78
2,1200,0.3398,4463.3,5142.9,8.9607
2,1300,0.3631,4679,5405.1,9.1329
2.5,223.99,0.07998,2603.1,2803.1,6.2575
2.5,225,0.08027,2605.6,2806.3,6.2639
2.5,250,0.087,2662.6,2880.1,6.4085
2.5,300,0.0989,2761.6,3008.8,6.6438
2.5,350,0.10976,2851.9,3126.3,6.8403
2.5,400,0.1201,2939.1,3239.3,7.0148
2.5,450,0.13014,3025.5,3350.8,7.1746
2.5,500,0.13993,3112.1,3462.1,7.3234
2.5,600,0.1593,3288,3686.3,7.596
2.5,700,0.17832,3468.7,3914.5,7.8435
2.5,800,0.19716,3655.3,4148.2,8.072
2.5,900,0.2159,3847.9,4387.6,8.2853
2.5,1000,0.2346,4046.7,4633.1,8.4861
2.5,1100,0.2532,4251.5,4884.6,8.6762
2.5,1200,0.2718,4462.1,5141.7,8.8569
2.5,1300,0.2905,4677.8,5404,9.0291
3,233.9,0.06668,2604.1,2804.2,6.1869
3,225,,,,
3,250,0.07058,2644,2855.8,6.2872
3,300,0.08114,2750.1,2993.5,6.539
3,350,0.09053,2843.7,3115.3,6.7428
3,400,0.09936,2932.8,3230.9,6.9212
3,450,0.10787,3020.4,3344,7.0834
3,500,0.11619,3108,3456.5,7.2338
3,600,0.13243,3285,3682.3,7.5085
3,700,0.14838,3466.5,3911.7,7.7571
3,800,0.16414,3653.5,4145.9,7.9862
3,900,0.1798,3846.5,4385.9,8.1999
3,1000,0.19541,4045.4,4631.6,8.4009
3,1100,0.21098,4250.3,4883.3,8.5912
3,1200,0.22652,4460.9,5140.5,8.772
3,1300,0.24206,4676.6,5402.8,8.9442
3.5,242.6,0.0507,2603.7,2803.4,6.1253
3.5,225,,,,
3.5,250,0.05872,2623.7,2829.2,6.1749
3.5,300,0.06842,2738,2977.5,6.4461
3.5,350,0.07678,2835.3,3104,6.6579
3.5,400,0.08453,2926.4,3222.3,6.8405
3.5,450,0.09196,3015.3,3337.2,7.0052
3.5,500,0.09918,3103,3450.9,7.1572
3.5,600,0.11324,3282.1,3678.4,7.4339
3.5,700,0.12699,3464.3,3908.8,7.6837
3.5,800,0.14056,3651.8,4143.7,7.9134
3.5,900,0.15402,3845,4384.1,8.1276
3.5,1000,0.16743,4044.1,4630.1,8.3288
3.5,1100,0.1808,4249.2,4881.9,8.5192
3.5,1200,0.19415,4459.8,5139.3,8.7
3.5,1300,0.20749,4675.5,5401.7,8.8723
4,250.4,0.04978,2602.3,2801.4,6.0701
4,275,0.05457,2667.9,2886.2,6.2285
4,300,0.05884,2725.3,2960.7,6.3615
4,350,0.06645,2826.7,3092.5,6.5821
4,400,0.07341,2919.9,3213.6,6.769
4,450,0.08002,3010.2,3330.3,6.9363
4,500,0.08643,3099.5,3445.3,7.0901
4,600,0.09885,3279.1,3674.4,7.3688
4,700,0.11095,3462.1,3905.9,7.6198
4,800,0.12287,3650,4141.5,7.8502
4,900,0.13469,3843.6,4382.3,8.0647
4,1000,0.14645,4042.9,4628.7,8.2662
4,1100,0.15817,4248,4880.6,8.4567
4,1200,0.16987,4458.6,5138.1,8.6376
4,1300,0.18156,4674.3,5400.5,8.81
4.5,257.49,0.04406,2600.1,2798.3,6.0198
4.5,275,0.0473,2650.3,2863.2,6.1401
4.5,300,0.05135,2712,2943.1,6.2828
4.5,350,0.0584,2817.8,3080.6,6.5131
4.5,400,0.06475,2913.3,3204.7,6.7047
4.5,450,0.07074,3005,3323.3,6.8746
4.5,500,0.07651,3095.3,3439.6,7.0301
4.5,600,0.08765,3276,3670.5,7.311
4.5,700,0.09847,3459.9,3903,7.5631
4.5,800,0.10911,3648.3,4139.3,7.7942
4.5,900,0.11965,3842.2,4380.6,8.0091
4.5,1000,0.13013,4041.6,4627.2,8.2108
4.5,1100,0.14056,4246.8,4879.3,8.4015
4.5,1200,0.15098,4457.5,5136.9,8.5825
4.5,1300,0.16139,4673.1,5399.4,8.7549
5,263.99,0.03944,2597.1,2794.3,5.9734
5,275,0.04141,2631.3,2838.3,6.0544
5,300,0.04532,2698,2924.5,6.2084
5,350,0.05194,2808.7,3068.4,6.4493
5,400,0.05781,2906.6,3195.7,6.6459
5,450,0.0633,2999.7,3316.2,6.8186
5,500,0.06857,3091,3433.8,6.9759
5,600,0.07869,3273,3666.5,7.2589
5,700,0.08849,3457.6,3900.1,7.5122
